,Tweets,tag
0,RT @UNmigration: On average  the difference between countries of origin and destination 🌎 in terms of income is 1 to 70. https://t.co/BpkZY…,other
1,RT @UNmigration: The nominees for #TheBest FIFA Player 2018: ,other
2,Cristiano Ronaldo ✔️,other
3,Kevin De Bruyne ✔️,other
4,Antoine Griezmann ✔️,other
5,Eden Hazard ✔️…,other
6,RT @UNmigration: All migrants should be treated with RESPECT.,other
7,All migrants should be treated with DIGNITY.,other
8,All migrants should be treated…,other
9,After many challenges  my wife and I decided to return to Ethiopia and work. We are now in a good situation. Read… https://t.co/OK1AH5RFWW,other
10,RT @UNmigration: Do not misbehave. ,other
11,Do not sit on the floor. ,other
12,Do not share your food. ,other
13,Do not use nicknames. ,other
14,Do not cry. https://t.co/lktf…,other
15,"Switzerland gave my family everything  and I try to give everything for the national team. But whenever I go to Ko… https://t.co/yi9XJMBIcX
Meet Hadiza  a community mobilizer working in Niger to keep other migrants safe from the horrors of human trafficki… https://t.co/YLml3C48Av
RT @UNmigration: 1 422 too many.
That's the total number of migrant deaths in the #Mediterranean Sea this year:
🔴 January: 243
🔴 February…
Ahead of tonight's #WorldCup game  read about Belgian winger Adnan Januzaj - who has played professional football i… https://t.co/8ir2P8rIvt
Moving somewhere new has given me a new sense of independence. I know I can still be me  I'm just somewhere else.""… https://t.co/jekiQBs9LT",other
16,RT @UNmigration: Each year  millions of people are internally displaced by: ,other
17,• conflict,other
18,• violence,other
19,• disasters,other
20,• natural hazards,other
21,• climate…,other
22,RT @UNmigration: Fact: almost 1 in 10 players in the #WorldCup were born outside of their country.,other
23,Learn more ➡️ https://t.co/nrBWxVUm7I h…,other
24,"The decision to stay in Estonia was very intuitive  it wasn’t rational. I just felt very comfortable and thought i… https://t.co/0W3UMeVCET
Croatian defender Domagoj Vida has made over 60 appearances for his country since 2010. He currently plays for Besi… https://t.co/udsYqC2DRG
What happens when a migrant dies? In many cases  no body is found. No record is made. No story is told. Families f… https://t.co/V0Sy3yC7M5",other
25,RT @UNmigration: Thousands have died or gone missing in the #Mediterranean  but what happens when a migrant dies? https://t.co/4N55j6RDtv,other
26,Before falling in love with the beautiful game at age 11  Mathew Leckie wanted to play a different kind of football… https://t.co/ksoEDfmNGc,other
27,Keisuke Honda is a Japanese footballer who plays in Mexico for C.F. Pachuca during the regular season. He has repre… https://t.co/j26jf2RyHV,other
28,RT @UNmigration: Fact: in 2017  72 of the 100 top-ranked players were migrants ⚽️,other
29,If you are watching the #WorldCup this week  you are ver…,other
30,"RT @FarahSFerraton: ""UN staff know nothing of the suffering of migrants and refugees"".",other
31,Right?,other
32,Wrong. Very much wrong.,other
33,Here's my story as…,other
34,Versatile Iranian player Ehsan Hajsafi signed to Greek club Olympiacos in 2018. He is the most experienced member o… https://t.co/JNBBZHgqeO,other
35,RT @GMFF18: Who surprised you the most? https://t.co/nPtEEwbCLs,other
36,"Yusra Mardini almost drowned in the Mediterranean while fleeing the civil war in Syria. She survived thanks to her… https://t.co/SLDHHty1pL
RT @UNmigration: In 2017  44 400 people around the world were displaced every day.
That's 31 people every minute.
One every 2 seconds.
@…
Portuguese superstar @Cristiano Ronaldo has been playing in Spain since 2009. He is Real Madrid's all-time leading… https://t.co/Kej4ZJDzhB
The @FIFAWorldCup is underway! Which team do you support?
Follow our #TogetherThroughSport campaign for stories ab… https://t.co/Ck69iS7QMp
RT @OIMhonduras: La historia de José es un ejemplo de superación. Este hondureño radicado en Estados Unidos finalizó sus estudios universit…
Every game I ever played was a Final...  I used to try to tear the cover off the ball every time I shot it. Full p… https://t.co/qemxOsQoB0",other
37,RT @KristinDadey: A beautiful story about an American migrant who made the Philippines her home. #iamamigrant.This award-winning docu tells…,other
38,Costa Rican goalkeeper Keylor Navas plays for Spanish side Real Madrid. During his club's run in the 2015/2016 Cham… https://t.co/ZnP8nI0awV,other
39,"After having a bad accident  Satnam decided to go back to India from Greece  his home since 1987. ""A new life has j… https://t.co/Ta7V62S151",other
40,RT @UNmigration: Did you know that  contrary to media coverage  the majority of Africans do not leave the continent? ,other
41,Learn more ➡️ https:…,other
