,Tweets,tag
0,"Among the most pressing of the humanitarian issues facing the international community at present is the need to we… https://t.co/nY7dAI8KUB
Pope Francis has urged new Ambassadors to the Holy See to use their diplomatic clout to favour better laws to prote… https://t.co/LNz1v0QUCG
“Let us pray for all displaced people and refugees ... pray that the causes of this painful scourge may be resolved… https://t.co/tb0n74wt40
Myanmar: Children as agents of peace -&gt; https://t.co/Tme24qACqF
“The Chilean refugee example  and others  show that with the right support  #immigrant and #refugee communities can… https://t.co/Qy2Cq2Pk8b
“The degrading conditions in which so many refugees are forced to live are intolerable!” Pope Francis https://t.co/1fkABXB82b
Maya: A #Refugee Mother on a Challenging Journey

https://t.co/LDPFr3TTwT
Taking in #migrants is not only necessary  but also desirable  provided that creative immigration policies are imp… https://t.co/pbJ05XRH8e",0
1,It’s time to provide holistic palliative care in humanitarian emergencies consisting of pain management and psychos… https://t.co/BNj3wJnTOr,0
2,“Hearts must not be closed to refugees” Pope Francis https://t.co/YQrbHhx2Z5,0
3,The food is prepared by a social enterprise Tradicija juga from Vranje  which employs mostly women from socially vu… https://t.co/AQqw9yuW8U,0
4,‘The hostile environment needs to be fought on the streets.’,0
5,https://t.co/66arCd91Uy,0
6,‘Government policy must change to build on the kernel of positive findings here’,0
7,https://t.co/HXbN4Ox2A2,0
8,“The #migrant worker finds himself caught between being uprooted and integration.” Pope Francis https://t.co/lsmw1AAMfg,0
9,Janette: #Refugee Mother in the Textile Industry,0
10,https://t.co/nYUSWAcrhD,0
11,It took Yusra Mardini a long time to come around to the notion of being a #refugee.,0
12,From the day the Syrian fled he… https://t.co/sR6IwduiUF,0
13,“Mary  mother of #refugees  pray for us” Pope Francis https://t.co/QD6xxHC6Tc,0
14,Relief groups are increasingly dependent on the volunteerism of #refugees and #migrants themselves,0
15,https://t.co/jc8yoKLwCd,0
16,Working on meeting the urgent humanitarian needs like access to food and shelter  while also building the resilienc… https://t.co/VxnhIBn0iV,0
17,https://t.co/ExhdxQqqj9,0
18,Jesus  Mary and Joseph knew what it meant to leave their own country and become #migrants Pope Francis https://t.co/mlYPWy3Rwk,0
19,South Sudan: The spirit of success --&gt; https://t.co/Tc4flxNp3S,0
20,Refugees know the ways that lead to peace because they know the acrid odour of war Pope Francis https://t.co/Sk8IXSq3rl,0
21,Technology for Education  Education for Technology,0
22,#caring4migrants,0
23,https://t.co/wXkdayj29t,0
24,“The presence of migrants and refugees seriously challenges the various societies which accept them” Pope Francis https://t.co/OBWyPYpdO4,0
25,A Catholic goods shop opened its first brick and mortar store last month  presenting a wide variety of merchandise… https://t.co/hdaIAQEGFm,0
26,“Let's prevent unwarranted fears and speculation detrimental to migrants” Pope Francis https://t.co/LEx6TNb4Om,0
27,Nakio is a student at Mikese University in Yambio  South Sudan. Each day is a little different for her as she balan… https://t.co/79hckDelaR,0
28,“According to some recent statistics  there would be more than 40 million people  men  but especially women and chi… https://t.co/vo26Ynf0f7,0
29,Every woman who comes to this place has been subjected to some form of violence  said Sr. Eliane Loiseau  a Missi… https://t.co/BkCrgenQz7,0
30,“Every one of you refugees who knock at our doors  bears the face of God” Pope Francis https://t.co/nskdCjTQf5,0
31,Eighteen-year-old Joyce arrived in Uganda in 2016 from South Sudan and she has been enrolled in the school since la… https://t.co/pz7YvtXmnO,0
32,Fares al Badwan moved to Buenos Aires alone  from Syria  in 2011. He was 17 years old then and the armed conflict i… https://t.co/apWtjiSSEi,0
33,The project is in line with the 20 actions points drafted by the Vatican's migrant section as part of Pope Francis'… https://t.co/Vc2UYArNhn,0
34,“I think also of the living conditions of many migrants who  in their dramatic odyssey  experience hunger” Pope Fra… https://t.co/H73DNUVw5v,0
35,“Trafficking in human beings  exploitation of workers through debt  exploitation of children  sexual exploitation a… https://t.co/kYCWlXm3O0,0
36,Churches in South America provide practical and spiritual support for hundreds of thousands of Venezuelans fleeing… https://t.co/9bmpukUESy,0
37,RT @JesuitRefugee: Bishops’ conferences join efforts to help #Venezuelan #refugees @Crux,0
38,https://t.co/sxSKw1xv6u,0
39,"Faith-based organizations are uniquely able to care for #migrants and #refugees because they employ a holistic  pe… https://t.co/VNlR7ABaCI
“Let us pray together to Our Lady for our #refugee brothers and sisters” Pope Francis https://t.co/Zz7ZawT5NX
Fr. Michael Czerny SJ  Fr. Fabio Baggio and Fr. Arturo Sosa launching Bridges of solidarity""  a pastoral plan to h… https://t.co/ZEycmJds9X",0
40,Omid Nouripour  a German politician from the Green Party whose family fled Iran in the 1980s.,0
41,https://t.co/QzQylft7Bj,0
42,“What's needed is to promote the integral human development of #migrants  #refugees and displaced people” Pope Fran… https://t.co/8TtQQUoNVY,0
43,Become more knowledgeable and contribute to more productive discussions around the dinner table. Here are the answe… https://t.co/yODirLDAJt,0
44,Best practices in promoting equity in education among urban #refugees in Beirut  Lebanon. ,0
45,https://t.co/wICH9kO3mn,0
46,“I ask for the provision of humanitarian aid for the displaced and #refugees” Pope Francis https://t.co/7WWZl0j4db,0
47,The Scottish Government is set to save millions of pounds as a result of the success of a scheme to accredit… https://t.co/vtJD5eH4mK,0
48,Creating a Hopeful Future: Celebrating #Refugee Mothers Around the World,0
