,Tweets,tag
0,"Among the most pressing of the humanitarian issues facing the international community at present is the need to we… https://t.co/nY7dAI8KUB
Pope Francis has urged new Ambassadors to the Holy See to use their diplomatic clout to favour better laws to prote… https://t.co/LNz1v0QUCG
“Let us pray for all displaced people and refugees ... pray that the causes of this painful scourge may be resolved… https://t.co/tb0n74wt40
Myanmar: Children as agents of peace -&gt; https://t.co/Tme24qACqF
“The Chilean refugee example  and others  show that with the right support  #immigrant and #refugee communities can… https://t.co/Qy2Cq2Pk8b
“The degrading conditions in which so many refugees are forced to live are intolerable!” Pope Francis https://t.co/1fkABXB82b
Maya: A #Refugee Mother on a Challenging Journey

https://t.co/LDPFr3TTwT
Taking in #migrants is not only necessary  but also desirable  provided that creative immigration policies are imp… https://t.co/pbJ05XRH8e",refugee
1,It’s time to provide holistic palliative care in humanitarian emergencies consisting of pain management and psychos… https://t.co/BNj3wJnTOr,refugee
2,“Hearts must not be closed to refugees” Pope Francis https://t.co/YQrbHhx2Z5,refugee
3,The food is prepared by a social enterprise Tradicija juga from Vranje  which employs mostly women from socially vu… https://t.co/AQqw9yuW8U,refugee
4,‘The hostile environment needs to be fought on the streets.’,refugee
5,https://t.co/66arCd91Uy,refugee
6,‘Government policy must change to build on the kernel of positive findings here’,refugee
7,https://t.co/HXbN4Ox2A2,refugee
8,“The #migrant worker finds himself caught between being uprooted and integration.” Pope Francis https://t.co/lsmw1AAMfg,refugee
9,Janette: #Refugee Mother in the Textile Industry,refugee
10,https://t.co/nYUSWAcrhD,refugee
11,It took Yusra Mardini a long time to come around to the notion of being a #refugee.,refugee
12,From the day the Syrian fled he… https://t.co/sR6IwduiUF,refugee
13,“Mary  mother of #refugees  pray for us” Pope Francis https://t.co/QD6xxHC6Tc,refugee
14,Relief groups are increasingly dependent on the volunteerism of #refugees and #migrants themselves,refugee
15,https://t.co/jc8yoKLwCd,refugee
16,Working on meeting the urgent humanitarian needs like access to food and shelter  while also building the resilienc… https://t.co/VxnhIBn0iV,refugee
17,https://t.co/ExhdxQqqj9,refugee
18,Jesus  Mary and Joseph knew what it meant to leave their own country and become #migrants Pope Francis https://t.co/mlYPWy3Rwk,refugee
19,South Sudan: The spirit of success --&gt; https://t.co/Tc4flxNp3S,refugee
20,Refugees know the ways that lead to peace because they know the acrid odour of war Pope Francis https://t.co/Sk8IXSq3rl,refugee
21,Technology for Education  Education for Technology,refugee
22,#caring4migrants,refugee
23,https://t.co/wXkdayj29t,refugee
24,“The presence of migrants and refugees seriously challenges the various societies which accept them” Pope Francis https://t.co/OBWyPYpdO4,refugee
25,A Catholic goods shop opened its first brick and mortar store last month  presenting a wide variety of merchandise… https://t.co/hdaIAQEGFm,refugee
26,“Let's prevent unwarranted fears and speculation detrimental to migrants” Pope Francis https://t.co/LEx6TNb4Om,refugee
27,Nakio is a student at Mikese University in Yambio  South Sudan. Each day is a little different for her as she balan… https://t.co/79hckDelaR,refugee
28,“According to some recent statistics  there would be more than 40 million people  men  but especially women and chi… https://t.co/vo26Ynf0f7,refugee
29,Every woman who comes to this place has been subjected to some form of violence  said Sr. Eliane Loiseau  a Missi… https://t.co/BkCrgenQz7,refugee
30,“Every one of you refugees who knock at our doors  bears the face of God” Pope Francis https://t.co/nskdCjTQf5,refugee
31,Eighteen-year-old Joyce arrived in Uganda in 2016 from South Sudan and she has been enrolled in the school since la… https://t.co/pz7YvtXmnO,refugee
32,Fares al Badwan moved to Buenos Aires alone  from Syria  in 2011. He was 17 years old then and the armed conflict i… https://t.co/apWtjiSSEi,refugee
33,The project is in line with the 20 actions points drafted by the Vatican's migrant section as part of Pope Francis'… https://t.co/Vc2UYArNhn,refugee
34,“I think also of the living conditions of many migrants who  in their dramatic odyssey  experience hunger” Pope Fra… https://t.co/H73DNUVw5v,refugee
35,“Trafficking in human beings  exploitation of workers through debt  exploitation of children  sexual exploitation a… https://t.co/kYCWlXm3O0,refugee
36,Churches in South America provide practical and spiritual support for hundreds of thousands of Venezuelans fleeing… https://t.co/9bmpukUESy,refugee
37,RT @JesuitRefugee: Bishops’ conferences join efforts to help #Venezuelan #refugees @Crux,refugee
38,https://t.co/sxSKw1xv6u,refugee
39,"Faith-based organizations are uniquely able to care for #migrants and #refugees because they employ a holistic  pe… https://t.co/VNlR7ABaCI
“Let us pray together to Our Lady for our #refugee brothers and sisters” Pope Francis https://t.co/Zz7ZawT5NX
Fr. Michael Czerny SJ  Fr. Fabio Baggio and Fr. Arturo Sosa launching Bridges of solidarity""  a pastoral plan to h… https://t.co/ZEycmJds9X",refugee
40,Omid Nouripour  a German politician from the Green Party whose family fled Iran in the 1980s.,refugee
41,https://t.co/QzQylft7Bj,refugee
42,“What's needed is to promote the integral human development of #migrants  #refugees and displaced people” Pope Fran… https://t.co/8TtQQUoNVY,refugee
43,Become more knowledgeable and contribute to more productive discussions around the dinner table. Here are the answe… https://t.co/yODirLDAJt,refugee
44,Best practices in promoting equity in education among urban #refugees in Beirut  Lebanon. ,refugee
45,https://t.co/wICH9kO3mn,refugee
46,“I ask for the provision of humanitarian aid for the displaced and #refugees” Pope Francis https://t.co/7WWZl0j4db,refugee
47,The Scottish Government is set to save millions of pounds as a result of the success of a scheme to accredit… https://t.co/vtJD5eH4mK,refugee
48,Creating a Hopeful Future: Celebrating #Refugee Mothers Around the World,refugee
49,"All mothers want the same thing for their… https://t.co/cc2GboYZk2
“We want peace  justice  that’s all. If there’s no justice  there’s no peace  so we would like to request on behalf… https://t.co/4iILX2eCkn
“Migrants find it difficult to be welcomed and accepted” Pope Francis https://t.co/SL8iNSbr6t
JRS Australia  Jesuit Social Services  and the Catholic Alliance for People Seeking Asylum released a joint stateme… https://t.co/fJwD5vGE7B
Many footballers  Oscar nominees and Nobel laureates are #migrants. It’s time to overturn stereotypes about migrati… https://t.co/3qlnyEfAtZ
Faith Leaders from different religious backgrounds to support our joint efforts with the #GlobalCompacts and launch… https://t.co/dmQRfTzOWq
“We are all #migrants” Pope Francis https://t.co/3dkld66ciU
India: Dreams do come true -&gt; https://t.co/HiMEpFCcnX 
Farzana  originally from Afghanistan  is now attending unive… https://t.co/c3WQODCULG
“With this joint initiative  we are providing a new pathway to opportunity to people whose educational and career p… https://t.co/IoEHszQa6t
Researcher tracked an opposite wave  of Europeans politically activated by humanitarian response work.

https://t.co/RXKMKOlsVv
“My thoughts go out to #migrants and #refugees who are trying to get away from harsh living conditions and dangers… https://t.co/TM8XlrSQ5T
In Malaysia  #refugees are offering life-saving protection and transforming their communities one extraordinary day… https://t.co/wzI8T3rHeY
#InternationalWorkersDay. Against exploitation and Human trafficking.
In many developing countries women and childr… https://t.co/mxq57ZBhZW
#Migrants  asylum seekers and #refugees must be empowered to leverage their skills and competencies in order to im… https://t.co/b7P9ao5j5T",refugee
50,#InternationalWorkersDay. Against exploitation and Human trafficking.,refugee
51,In many developing countries women and childr… https://t.co/V21QgDq9nw,refugee
52,To Protect: “We are speaking about millions of #migrant workers (...). Defending their inalienable rights  ensuring… https://t.co/p4nKUiolvX,refugee
53,"Immigrants must be protected by their countries of arrival  in order to prevent exploitation  forced labour and hu… https://t.co/WS3qxkON61
Imad Alarnab was one of the most famous chefs in Damascus before he fled from war.

https://t.co/phOydxEvKL
“Let us not forget the flesh of Christ which is in the flesh of refugees”
Pope Francis https://t.co/I7vHUoZUie
One of Sudan's 'Lost Boys' Finds a Way to Help Other Refugees

https://t.co/Yup0FwICjx
If we want to grow  we had better learn how to solve this problem of acceptance of recent arrivals.""",refugee
54,https://t.co/SxF4qCzqTE,refugee
55,“Jesus Christ is always waiting to be recognized in #migrants and #refugees” Pope Francis #caring4migrants https://t.co/7xN24hAgAO,refugee
56,The Global Compact on Refugees is an opportunity to build a fairer global refugee system through more effective and… https://t.co/ADLGC8tVcA,refugee
57,“To migrate is the expression of that inherent desire for the happiness proper to every human being” Pope Francis https://t.co/Rh99QDNX9W,refugee
58,The Austrian organisation provides courses in sign language and written German for asylum seekers and #refugees fro… https://t.co/X4YQiaj3fE,refugee
59,“Emigration will not be the only option left for those who seek peace  justice  security and full respect of their… https://t.co/eYiqcm1SFx,refugee
60,"I don't think the word xenophobic is too strong to describe some of the caricatures that are proposed to Americans… https://t.co/vrSNLgohMV
Loom Chicago is one of dozens of Catholic-run organizations that are adept at meeting various challenges posed by… https://t.co/jePYmxEied",refugee
61,“Let's prevent unwarranted fears and speculation at the cost of #migrants” Pope Francis https://t.co/jlmmReK0p4,refugee
62,“These dialogues  of utmost importance  represent an active and creative form of resistance to the madness of milit… https://t.co/FLlFyjk0tT,refugee
63,It eases the fiscal burden without hurting locals’ prospects,refugee
64,https://t.co/b2sxtSU4bB,refugee
65,“Each one of you  #refugees who knock on our doors  bears the face of God” Pope Francis https://t.co/QDH4a8H4Zx,refugee
66,A brief description of the main activities of Scalabrini Fathers Community in Cape Town (South Africa),refugee
67,https://t.co/fhjqudAtGU,refugee
68,Marina Brizar is an immigration lawyer who fled Bosnia during the war.,refugee
69,https://t.co/q17GXviP1d,refugee
70,An algorithm for locating #refugee resettlement could vastly improve their probability of finding work.,refugee
71,https://t.co/nd1wquYKmU,refugee
72,“Make a gesture of closeness to migrants seeking a better life” Pope Francis https://t.co/qOHpjIlltQ,refugee
73,RT @JamesMartinSJ: New video: From the Migrants and Refugees Section .@M_RSection of the Vatican  Pope Francis asks us to welcome  protect …,refugee
74,Atik and Said have many things in common. They are both from Bangladesh  both are about the same age  in their thir… https://t.co/5G5vckFdHp,refugee
